"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Сумма отправления";"Код валюты отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Код валюты товара";"Стоимость товара для покупателя";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"0130729601-0034";"0130729601-0034-2";"2025-03-12 23:09:03";"2025-03-13 19:30:00";"Ожидает сборки";;;"1470.00";"RUB";"Основание круглое для огней C91029";"486107604";"C91023";"1470.00";"RUB";"0.00";;"1";;;"1470.00";"0%";"0.00";;
"0127610886-0095";"0127610886-0095-1";"2025-03-13 02:00:50";"2025-03-13 19:30:00";"Ожидает сборки";;;"15778.00";"RUB";"Винт гребной Solas 11.6x14 для Yamaha/Hidea/Parsun 25-60 л.с.";"461560836";"3311-116-14";"15778.00";"RUB";"0.00";;"1";;;"15778.00";"0%";"0.00";;
"59273311-0092";"59273311-0092-1";"2025-03-13 02:07:52";"2025-03-13 19:30:00";"Ожидает сборки";;;"3981.00";"RUB";"Ремень вентилятора для снегоходов Yamaha Viking VK 540, 8H8-12612-00 - 90-456";"437912913";"90-456";"1327.00";"RUB";"0.00";;"3";;;"1420.00";"7%";"279.00";"Бустинг х3. Без ограничения срока действия";
"51165253-0500";"51165253-0500-1";"2025-03-13 02:23:59";"2025-03-13 19:30:00";"Ожидает сборки";;;"6400.00";"RUB";"Топливный бак для лодочного мотора 24 литра для Yamaha, Hidea, Gladiator и других китайских моторов (в комплекте с топливным шлангом грушей и коннекторами)";"1575544502";"Sborka24";"6400.00";"RUB";"0.00";;"1";;;"6400.00";"0%";"0.00";;
"39815592-0166";"39815592-0166-1";"2025-03-13 02:53:37";"2025-03-13 19:30:00";"Ожидает сборки";;;"5143.00";"RUB";"Клапана впускные лепестковые в сборе для лодочного мотора Gladiator, Tohatsu, Hidea, Mercury, Marlin 9.9-18 - 362-02100-1, 20F-01.06.01.00, 803686A1";"1657262764";"20F-01.06.01.00";"5143.00";"RUB";"0.00";;"1";;;"5143.00";"0%";"0.00";;
"56254965-0058";"56254965-0058-1";"2025-03-13 03:25:19";"2025-03-13 19:30:00";"Ожидает сборки";;;"1305.00";"RUB";"Крышка редуктора для лодочного мотора Gladiator, Tohatsu, Hidea, Seanovo, Marlin 9.9-18 - 350-65017-0";"1581334136";"20F-06.00.00.10";"1305.00";"RUB";"0.00";;"1";;;"1305.00";"0%";"0.00";;
"59655840-0133";"59655840-0133-1";"2025-03-13 04:10:16";"2025-03-13 19:30:00";"Ожидает сборки";;;"867.00";"RUB";"Крыльчатка водяной помпы Honda 8, 9.9, 10, 15, 20 - 19210-ZW9-A32";"1846956825";"RTT-19210-ZW9-A32";"867.00";"RUB";"0.00";;"1";;;"867.00";"0%";"0.00";;
"0140921694-0102";"0140921694-0102-1";"2025-03-13 04:15:46";"2025-03-13 19:30:00";"Ожидает сборки";;;"3458.00";"RUB";"Ремкомплект карбюратора для Yamaha 25/30";"738108063";"SC-CR013";"3458.00";"RUB";"0.00";;"1";;;"3458.00";"0%";"0.00";;
"31555919-0282";"31555919-0282-7";"2025-03-13 05:14:25";"2025-03-13 19:30:00";"Ожидает сборки";;;"15778.00";"RUB";"Винт гребной Solas 11.1x14 для Yamaha/Hidea/Parsun 25-60 л.с. 6H5-45958-00-EL, 663-45958-01-EL";"461561568";"3311-111-14";"15778.00";"RUB";"0.00";;"1";;;"15778.00";"0%";"0.00";;
"82096692-0022";"82096692-0022-1";"2025-03-13 05:22:02";"2025-03-13 19:30:00";"Ожидает сборки";;;"1715.00";"RUB";"Плафон заднего фонаря для снегохода BRP 01-104-05";"431804597";"01-104-05";"1715.00";"RUB";"0.00";;"1";;;"1835.00";"7%";"120.00";"Бустинг х3. Без ограничения срока действия";
"29878750-0119";"29878750-0119-1";"2025-03-13 05:24:45";"2025-03-13 19:30:00";"Ожидает сборки";;;"231.00";"RUB";"Рукоятка упора мелководья - 682-43318-01";"1612012802";"15A-501022";"231.00";"RUB";"0.00";;"1";;;"231.00";"0%";"0.00";;
"68363220-0071";"68363220-0071-1";"2025-03-13 05:29:53";"2025-03-13 19:30:00";"Ожидает сборки";;;"343.00";"RUB";"Заглушка резиновая Yamaha, Gladiator, HDX - 63V-45126-01, 63V-45126-01-00";"1612074687";"15A-603002";"343.00";"RUB";"0.00";;"1";;;"343.00";"0%";"0.00";;
"06911190-0118";"06911190-0118-1";"2025-03-13 05:37:43";"2025-03-13 19:30:00";"Ожидает сборки";;;"2625.00";"RUB";"Сухарики ведомого вариатора (3 шт) для снегохода Yamaha 8AV-17688-10-00 - 03-151-090T3";"438634469";"03-151-090T3";"875.00";"RUB";"0.00";;"3";;;"1004.00";"13%";"387.00";"Бустинг х3. Без ограничения срока действия";
"03759199-0269";"03759199-0269-1";"2025-03-13 05:46:00";"2025-03-13 19:30:00";"Ожидает сборки";;;"2100.00";"RUB";"Сигнал воздушный (горн) средний, 150мл.";"486099098";"C11658";"2100.00";"RUB";"0.00";;"1";;;"2100.00";"0%";"0.00";;
"0113890767-0015";"0113890767-0015-1";"2025-03-13 05:50:47";"2025-03-13 19:30:00";"Ожидает сборки";;;"200.00";"RUB";"Клей ПВХ REAKTOR 2 в 1: ЖИДКАЯ ЛАТКА-герметизатор + КЛЕЙ ПВХ, зеленый 15 мл";"836317203";"000077R";"200.00";"RUB";"0.00";;"1";;;"200.00";"0%";"0.00";;
"0128839575-0157";"0128839575-0157-1";"2025-03-13 05:54:18";"2025-03-13 19:30:00";"Ожидает сборки";;;"1916.00";"RUB";"Кабель 7-жильный (папа) (сторона мотора) Yamaha - 61T-82590-00, 61T-82590-00-00";"1763636700";"DQDF15-00.00.01";"1916.00";"RUB";"0.00";;"1";;;"1916.00";"0%";"0.00";;
"0138588863-0172";"0138588863-0172-1";"2025-03-13 05:55:41";"2025-03-13 19:30:00";"Ожидает сборки";;;"5250.00";"RUB";"Топливный бак для лодочного мотора 24 литра для Yamaha, Hidea, Gladiator и других китайских моторов";"1431820377";"BSM0311";"5250.00";"RUB";"0.00";;"1";;;"5250.00";"0%";"0.00";;
"0106524384-0269";"0106524384-0269-1";"2025-03-13 05:56:12";"2025-03-13 19:30:00";"Ожидает сборки";;;"1064.00";"RUB";"Пружина для крышки палубного люка, 11x220мм";"1235093938";"SF30921-1";"1064.00";"RUB";"0.00";;"1";;;"1064.00";"0%";"0.00";;
"0106524384-0269";"0106524384-0269-1";"2025-03-13 05:56:12";"2025-03-13 19:30:00";"Ожидает сборки";;;"1530.00";"RUB";"Пружина для крышки палубного люка, 14.5x260мм";"1235092916";"SF30921-2";"1530.00";"RUB";"0.00";;"1";;;"1530.00";"0%";"0.00";;
"0126112859-0223";"0126112859-0223-1";"2025-03-13 05:58:56";"2025-03-13 19:30:00";"Ожидает сборки";;;"601.00";"RUB";"Сальник вертикального вала 16x30x6 для Gladiator, Yamaha, Hidea, Seanovo, Marlin 25-40 93101-16001";"1463116966";"40F-01.06.00.23";"601.00";"RUB";"0.00";;"1";;;"601.00";"0%";"0.00";;
"0102725423-0113";"0102725423-0113-1";"2025-03-13 06:02:37";"2025-03-13 19:30:00";"Ожидает сборки";;;"1384.00";"RUB";"Щетки электрического стартера для снегоходов BRP SM-01214-2 - 515176133";"437865159";"SM-01214-2";"692.00";"RUB";"0.00";;"2";;;"794.00";"13%";"204.00";"Бустинг х3. Без ограничения срока действия";
